Index,deltaT_us,distance_cm,timestamp_ms
592,5786.0,99.23,33868.0
593,5743.0,98.49,33925.0
594,5766.0,98.89,33982.0
595,5767.0,98.9,34039.0
596,5737.0,98.39,34097.0
597,5738.0,98.41,34154.0
598,5711.0,97.94,34211.0
599,5712.0,97.96,34269.0
600,5738.0,98.41,34326.0
601,5745.0,98.53,34382.0
602,5793.0,99.35,34440.0
603,5743.0,98.49,34497.0
604,5743.0,98.49,34554.0
605,5737.0,98.39,34612.0
606,5711.0,97.94,34669.0
607,5787.0,99.25,34726.0
608,5712.0,97.96,34784.0
609,5711.0,97.94,34841.0
610,5717.0,98.05,34897.0
611,5767.0,98.9,34955.0
612,5711.0,97.94,35012.0
613,5737.0,98.39,35069.0
614,5712.0,97.96,35127.0
615,5712.0,97.96,35184.0
616,5737.0,98.39,35241.0
617,5767.0,98.9,35298.0
618,5718.0,98.06,35355.0
619,5745.0,98.53,35412.0
620,5787.0,99.25,35470.0
621,5788.0,99.26,35527.0
622,5787.0,99.25,35585.0
623,5739.0,98.42,35642.0
624,5788.0,99.26,35699.0
625,5713.0,97.98,35757.0
626,5745.0,98.53,35814.0
627,5723.0,98.15,35870.0
628,5768.0,98.92,35928.0
629,5738.0,98.41,35985.0
630,5738.0,98.41,36042.0
631,5788.0,99.26,36100.0
632,5788.0,99.26,36157.0
633,5738.0,98.41,36214.0
634,5713.0,97.98,36272.0
635,5718.0,98.06,36328.0
636,5744.0,98.51,36385.0
637,5719.0,98.08,36443.0
638,5739.0,98.42,36500.0
639,5716.0,98.03,36557.0
640,5712.0,97.96,36615.0
641,5737.0,98.39,36672.0
642,5743.0,98.49,36729.0
643,5717.0,98.05,36786.0
644,5744.0,98.51,36843.0
645,5712.0,97.96,36900.0
646,5736.0,98.37,36958.0
647,5737.0,98.39,37015.0
648,5710.0,97.93,37072.0
649,5760.0,98.78,37130.0
650,5743.0,98.49,37186.0
651,5743.0,98.49,37243.0
652,5742.0,98.48,37301.0
653,5711.0,97.94,37358.0
654,5787.0,99.25,37415.0
655,5787.0,99.25,37473.0
656,5760.0,98.78,37530.0
657,5738.0,98.41,37587.0
658,5736.0,98.37,37645.0
659,5767.0,98.9,37701.0
660,5718.0,98.06,37758.0
661,5712.0,97.96,37816.0
662,5710.0,97.93,37873.0
663,5738.0,98.41,37931.0
664,5737.0,98.39,37988.0
665,5738.0,98.41,38045.0
666,5717.0,98.05,38102.0
667,5717.0,98.05,38159.0
668,5744.0,98.51,38216.0
669,5737.0,98.39,38274.0
670,5737.0,98.39,38331.0
671,5712.0,97.96,38388.0
672,5787.0,99.25,38446.0
673,5711.0,97.94,38503.0
674,5719.0,98.08,38559.0
675,5743.0,98.49,38617.0
676,5712.0,97.96,38674.0
677,5761.0,98.8,38731.0
678,5711.0,97.94,38789.0
679,5738.0,98.41,38846.0
680,5738.0,98.41,38903.0
