Index,deltaT_us,distance_cm,timestamp_ms
702,5809.0,99.62,40173.0
703,5763.0,98.84,40230.0
704,5763.0,98.84,40288.0
705,5808.0,99.61,40345.0
706,5763.0,98.84,40402.0
707,5763.0,98.84,40460.0
708,5787.0,99.25,40517.0
709,5791.0,99.32,40573.0
710,5793.0,99.35,40631.0
711,5745.0,98.53,40688.0
712,5809.0,99.62,40745.0
713,5787.0,99.25,40803.0
714,5809.0,99.62,40860.0
715,5763.0,98.84,40918.0
716,5763.0,98.84,40975.0
717,5809.0,99.62,41032.0
718,5809.0,99.62,41090.0
719,5809.0,99.62,41147.0
720,5787.0,99.25,41204.0
721,5770.0,98.96,41261.0
722,5746.0,98.54,41318.0
723,5816.0,99.74,41375.0
724,5172.0,88.7,41433.0
725,5696.0,97.69,41489.0
726,5817.0,99.76,41546.0
727,5816.0,99.74,41604.0
728,5816.0,99.74,41661.0
729,5811.0,99.66,41718.0
730,5810.0,99.64,41776.0
731,5715.0,98.01,41833.0
732,5833.0,100.04,41890.0
733,5516.0,94.6,41948.0
734,5810.0,99.64,42005.0
735,5811.0,99.66,42062.0
736,5548.0,95.15,42119.0
737,5787.0,99.25,42176.0
738,5787.0,99.25,42233.0
739,5764.0,98.85,42291.0
740,5764.0,98.85,42348.0
741,5788.0,99.26,42405.0
742,5764.0,98.85,42463.0
743,5810.0,99.64,42520.0
744,5788.0,99.26,42577.0
745,5793.0,99.35,42634.0
746,5770.0,98.96,42691.0
747,5839.0,100.14,42748.0
748,5793.0,99.35,42806.0
749,5720.0,98.1,42863.0
750,5809.0,99.62,42920.0
751,5787.0,99.25,42978.0
752,5787.0,99.25,43035.0
753,5690.0,97.58,43092.0
754,5690.0,97.58,43150.0
755,5815.0,99.73,43207.0
756,5815.0,99.73,43264.0
757,5720.0,98.1,43321.0
758,5572.0,95.56,43378.0
759,5786.0,99.23,43436.0
760,5740.0,98.44,43493.0
761,5810.0,99.64,43550.0
762,5810.0,99.64,43608.0
763,5764.0,98.85,43665.0
764,5769.0,98.94,43721.0
765,5816.0,99.74,43779.0
766,5815.0,99.73,43836.0
767,5794.0,99.37,43893.0
768,5815.0,99.73,43951.0
769,5810.0,99.64,44008.0
770,5665.0,97.15,44065.0
771,5834.0,100.05,44123.0
772,5810.0,99.64,44180.0
773,5764.0,98.85,44237.0
774,5763.0,98.84,44295.0
775,5809.0,99.62,44352.0
776,5811.0,99.66,44409.0
777,5770.0,98.96,44467.0
778,5815.0,99.73,44523.0
779,5793.0,99.35,44580.0
780,5769.0,98.94,44638.0
781,5639.0,96.71,44695.0
782,5715.0,98.01,44752.0
783,5786.0,99.23,44810.0
784,5786.0,99.23,44867.0
785,5786.0,99.23,44924.0
786,5763.0,98.84,44982.0
787,5814.0,99.71,45039.0
788,5769.0,98.94,45095.0
789,5792.0,99.33,45153.0
790,5744.0,98.51,45210.0
791,5540.0,95.01,45267.0
792,5810.0,99.64,45325.0
793,5809.0,99.62,45382.0
794,5809.0,99.62,45440.0
795,5762.0,98.82,45497.0
796,5809.0,99.62,45554.0
797,5768.0,98.92,45611.0
798,5770.0,98.96,45668.0
799,5815.0,99.73,45725.0
800,5792.0,99.33,45783.0
801,5786.0,99.23,45840.0
802,5810.0,99.64,45897.0
803,5808.0,99.61,45955.0
804,5809.0,99.62,46012.0
805,5785.0,99.21,46069.0
806,5808.0,99.61,46127.0
807,5808.0,99.61,46184.0
808,5786.0,99.23,46241.0
809,5831.0,100.0,46299.0
810,5737.0,98.39,46356.0
811,5769.0,98.94,46412.0
812,5792.0,99.33,46470.0
813,5838.0,100.12,46527.0
814,5769.0,98.94,46584.0
815,5763.0,98.84,46642.0
816,5639.0,96.71,46699.0
817,5786.0,99.23,46756.0
818,5763.0,98.84,46814.0
819,5786.0,99.23,46871.0
820,5692.0,97.62,46928.0
821,5768.0,98.92,46985.0
822,5815.0,99.73,47042.0
823,5792.0,99.33,47099.0
824,5785.0,99.21,47157.0
825,5809.0,99.62,47214.0
826,5808.0,99.61,47271.0
827,5440.0,93.3,47329.0
828,5786.0,99.23,47386.0
829,5769.0,98.94,47442.0
830,5746.0,98.54,47500.0
831,5746.0,98.54,47557.0
832,5786.0,99.23,47614.0
833,5833.0,100.04,47672.0
834,5810.0,99.64,47729.0
835,5810.0,99.64,47787.0
836,5740.0,98.44,47844.0
837,5788.0,99.26,47901.0
838,5810.0,99.64,47959.0
839,5810.0,99.64,48016.0
840,5834.0,100.05,48073.0
841,5788.0,99.26,48131.0
842,5836.0,100.09,48188.0
843,5766.0,98.89,48245.0
844,5815.0,99.73,48303.0
